SourceNode	TargetNode	InteractionType	Weight
SRR5213598_GL1852227	SRR8088272_GL0062831	similarity_link	24.55
SRR5213598_GL1852227	SRR6826350_GL0083842	similarity_link	19.38
SRR5213598_GL1852227	SRR5712690_GL0003908	similarity_link	15.47
SRR5213598_GL1852227	SRR7609610_GL0132768	similarity_link	26.88
SRR5213598_GL1852227	SRR5820075_GL2762959	similarity_link	89.59
SRR5213598_GL1852227	SRR5754713_GL0168501	similarity_link	22.58
SRR5213598_GL1852227	SRR7054464_GL0031411	similarity_link	23.3
SRR5213598_GL1852227	SRR9663116_GL0508921	similarity_link	16.49
SRR5213598_GL1852227	SRR9663116_GL1342084	similarity_link	19.81
SRR5213598_GL1852227	SRR7615962_GL4615040	similarity_link	22.43
SRR8088272_GL0062831	SRR9663116_GL0508921	similarity_link	19.67
SRR8088272_GL0062831	SRR9663116_GL1342084	similarity_link	19.57
SAMN14511311_gene_id_77418	SRR5213598_GL1852227	similarity_link	28.21
SAMN14511311_gene_id_77418	SRR8088272_GL0062831	similarity_link	17.31
SAMN14511311_gene_id_77418	SRR6826350_GL0083842	similarity_link	19.61
SAMN14511311_gene_id_77418	SRR10912790_GL0087456	similarity_link	12.5
SAMN14511311_gene_id_77418	SRR4030059_GL0008324	similarity_link	18.92
SAMN14511311_gene_id_77418	SRR5712690_GL0003908	similarity_link	21.3
SAMN14511311_gene_id_77418	SRR10072858_GL11739383	similarity_link	20.19
SAMN14511311_gene_id_77418	SRR12157857_gene_id_394403	similarity_link	21.55
SAMN14511311_gene_id_77418	SRR7609610_GL0132768	similarity_link	20.33
SAMN14511311_gene_id_77418	SRR5820075_GL2762959	similarity_link	27.35
SAMN14511311_gene_id_77418	SRR5754713_GL0168501	similarity_link	21.37
SAMN14511311_gene_id_77418	SRR7054464_GL0031411	similarity_link	22.22
SAMN14511311_gene_id_77418	SRR11624237_GL0366798	similarity_link	27.43
SAMN14511311_gene_id_77418	SRR10018916_GL2200980	similarity_link	15.7
SAMN14511311_gene_id_77418	SRR9663116_GL0508921	similarity_link	20.69
SAMN14511311_gene_id_77418	SRR9663116_GL1342084	similarity_link	18.27
SAMN14511311_gene_id_77418	SRR7615962_GL4615040	similarity_link	15.22
SRR6826350_GL0083842	SRR8088272_GL0062831	similarity_link	7.81
SRR6826350_GL0083842	SRR7609610_GL0132768	similarity_link	26.67
SRR6826350_GL0083842	SRR7054464_GL0031411	similarity_link	16.98
SRR6826350_GL0083842	SRR9663116_GL0508921	similarity_link	16.98
SRR6826350_GL0083842	SRR9663116_GL1342084	similarity_link	24.77
SRR6826350_GL0083842	SRR7615962_GL4615040	similarity_link	27.18
SRR10912790_GL0087456	SRR5213598_GL1852227	similarity_link	13.45
SRR10912790_GL0087456	SRR8088272_GL0062831	similarity_link	0
SRR10912790_GL0087456	SRR6826350_GL0083842	similarity_link	42.19
SRR10912790_GL0087456	SRR4030059_GL0008324	similarity_link	13.64
SRR10912790_GL0087456	SRR5712690_GL0003908	similarity_link	11.76
SRR10912790_GL0087456	SRR12157857_gene_id_394403	similarity_link	13.46
SRR10912790_GL0087456	SRR7609610_GL0132768	similarity_link	17.07
SRR10912790_GL0087456	SRR5820075_GL2762959	similarity_link	12.61
SRR10912790_GL0087456	SRR5754713_GL0168501	similarity_link	11.21
SRR10912790_GL0087456	SRR7054464_GL0031411	similarity_link	12.05
SRR10912790_GL0087456	SRR11624237_GL0366798	similarity_link	13.91
SRR10912790_GL0087456	SRR9663116_GL0508921	similarity_link	16.09
SRR10912790_GL0087456	SRR9663116_GL1342084	similarity_link	12.99
SRR10912790_GL0087456	SRR7615962_GL4615040	similarity_link	16.9
SRR4030059_GL0008324	SRR5213598_GL1852227	similarity_link	29.13
