	SRR7216773_GL6008832	SRR8554433_GL0238971	SRR2657566_GL2994918	SRR2657594_GL0751689	SRR2657594_GL2630929	SRR2657219_GL0658342	SRR2657219_GL0330748	SRR2657219_GL1450739	SRR11241201_GL2111898	SRR2637690_GL1788878	SRR2637690_GL2679400	SRR2657594_GL0752158	SRR2657909_GL1420420	SRR2657909_GL0725351	SRR8554435_GL0436333	SRR2637690_GL3126056	SRR2657594_GL1824415	SRR2657594_GL0752159	SRR2657219_GL1631876	SRR2657909_GL0677732	SRR2657594_GL2697547	SRR2657219_GL0848858	SRR8554433_GL1772302	SRR2657208_GL0409165	SRR2657909_GL2012367	SRR2657594_GL0679271	SRR8554433_GL2053214	SRR2656927_GL0013965	SRR2657566_GL1643138	SRR2657909_GL1819201	SRR7479606_GL0022867	SRR5204267_GL0264131	SRR9019759_GL0076292	SRR12938498_GL1375097	SRR7479789_GL0047346	SRR11563580_GL0693617	SRR12939211_GL0566986	SRR9019729_GL0527329	SRR2657208_GL0816236	SRR7216773_GL5896028	SRR7130819_GL0657637	SRR7130820_GL0902788	SRR7130820_GL2339226	SRR11343838_GL2397288	SRR7216773_GL10935741	SRR7615941_GL0539806	SRR7179814_GL0341641	SRR7216773_GL7330390	SRR7216773_GL6771453	SRR7216773_GL4758456	SRR2657219_GL0622754	SRR7216773_GL10597300	SRR7216773_GL14739722	SRR7216773_GL1495803	SRR2657219_GL1210218
SRR7216773_GL6008832	100	52.44	53.66	51.83	51.83	51.83	48.17	48.78	51.22	51.22	47.56	48.78	46.63	47.24	49.02	51.53	49.08	50.31	53.99	48.92	50.38	55.83	55.21	52.83	55.21	58.28	45.06	46.92	46.01	46.63	38.22	34.62	35.67	34.62	33.76	35.03	36.31	33.33	27.27	32.7	34.44	34.25	34.46	28.57	32.08	33.33	30.97	34.59	35.07	33.33	32.08	30.52	32.7	30.95	35.85
SRR8554433_GL0238971	52.44	100	89.66	72.94	80.98	64.95	63	63.47	64.91	66.24	66.78	57.27	54.18	50.54	54.49	57.4	60.82	58.36	54.39	57.23	58.92	65.6	61.81	66.04	59.93	63.31	60.06	58.72	64.53	56.52	32.71	31.14	29.93	30.08	32.64	31.37	30.74	30.04	28.28	29.24	32.45	30.65	29.66	29.89	31.72	30.37	31.61	31.6	35.07	31.6	30.91	31.17	30.6	29.51	30.71
SRR2657566_GL2994918	53.66	89.66	100	73.68	81.46	64.95	64.45	62.04	65.11	66.35	67.54	58.72	56.48	51.87	54.76	57.71	60.98	60.41	55.94	58.05	60.22	66.55	62.07	64.38	60.56	62.5	60.87	57.99	68.79	57.14	32.96	30.66	29.09	29.18	31.44	30.51	29.84	28.57	27.27	29.14	30.92	29.77	29.17	28.57	30.26	29.52	30.13	31.11	32.59	31.48	30.07	30.32	30.86	28.42	30.6
SRR2657594_GL0751689	51.83	72.94	73.68	100	83.9	65.98	69.2	71.92	75.86	73.56	74.06	53.69	53.82	51.61	58.08	60.07	64.9	53.22	60.87	59.54	62.16	71.58	66.08	66.04	64.16	65.59	52.51	61.93	52.67	56.09	31.58	31.32	28.57	28.91	30.05	29.32	28.02	29.6	29.9	30.88	30.46	30.98	30.74	29.89	30.4	30.94	29.68	29.17	31.34	30.3	29.92	31.17	31.06	31.67	31.06
SRR2657594_GL2630929	51.83	80.98	81.46	83.9	100	62.37	71.71	71.22	74.63	74.63	72.2	58	51.98	51.08	56.29	56.35	55.84	53.81	55.33	56.07	57.49	70.79	60.89	61.64	61.76	63.73	52.24	54.39	53.23	51.74	33.51	32.64	29.9	29.02	30.05	30.93	29.9	30	32.79	33.5	31.13	33.33	31.89	30.64	32.98	32.29	30.97	35.6	34.33	34.03	31.41	30.52	33.51	29.91	33.33
SRR2657219_GL0658342	51.83	64.95	64.95	65.98	62.37	100	71.13	71.65	74.23	72.68	70.62	56.02	47.67	44.68	46.75	47.34	51.6	45.74	47.34	45.73	46.2	57.29	59.07	56.6	54.87	55.9	47.4	43.83	46.88	47.4	31.69	30.77	28.96	28.57	30.6	30.05	27.87	28.86	23.42	31.41	29.8	29.65	29.31	27.78	32.78	29.83	32.9	32.78	31.34	31.67	31.11	29.87	32.22	28.3	32.6
SRR2657219_GL0330748	48.17	63	64.45	69.2	71.71	71.13	100	73.99	75	74.09	73.33	52.88	47.99	48.39	50.3	58.61	60.41	48.63	58.15	53.18	57.3	63.8	60.22	61.64	60.71	61.23	47.97	55.96	48.82	53.91	32.06	31.3	28.9	29.25	32.12	30.42	29.53	29.55	27.75	31.85	27.81	30.56	30.31	29.89	32.16	31.3	31.61	30.65	31.34	32.95	31.8	31.82	33.08	32.22	32.57
SRR2657219_GL1450739	48.78	63.47	62.04	71.92	71.22	71.65	73.99	100	77.33	77.42	78.67	50	48.91	51.08	52.69	57.93	60.82	47.3	60.22	56.07	60	67.15	62.45	65.41	60.07	61.59	48.9	57.34	48.75	56.09	31.46	32.34	28.89	30.47	32.12	31.34	29.18	30.94	27.55	31.64	30.46	31.52	31.27	31.61	32.6	32.21	30.97	30.45	32.09	30.83	31	33.77	32.08	30.6	33.83
SRR11241201_GL2111898	51.22	64.91	65.11	75.86	74.63	74.23	75	77.33	100	89.87	92.23	48.97	46.04	48.92	50.9	58.58	61.22	45.54	58.43	53.18	56.22	70.33	67.4	63.52	62.41	63.5	50.95	55.96	50.16	54.35	31.32	31.46	27.99	28.91	30.57	28.95	26.85	29.6	26.8	31.5	29.8	30.2	29.57	29.31	33.04	31.7	30.32	29.92	29.85	29.92	28.57	29.22	31.94	30.94	32.58
SRR2637690_GL1788878	51.22	66.24	66.35	73.56	74.63	72.68	74.09	77.42	89.87	100	89.18	52.75	50	49.46	50.9	57.97	61.63	48.69	57.88	53.76	56.76	69.5	65.6	66.04	60.78	63.8	52.9	57.34	51.77	55.65	31.09	30.86	28.15	28.91	31.09	29.1	27.63	29.6	25.51	30.55	31.13	29.57	29.34	29.89	32.6	30.71	30.97	29.7	31.34	30.45	29.48	29.87	31.32	30.05	32.33
